,index,song,year,artist,genre,lyrics,numWords,polarity,subjectivity
0,110168,Don't Turn The Light On Leave Me Alone,1970,Can,Rock,"My father on the gangway
Running for luck
Sing a song, one nation
Listen
They don't like it, what I love
Oh I love it, what they do
Everything so groovy today
It will be too loud too
All alone, oh please
Don't turn the light on, leave me alone
All alone, oh please
Don't turn the light on, leave me alone
Every thirst ever
Makes you really frown
Sing a song, one nation
Listen
They don't like it, what I love
Oh I love it, what they do
Everything so groovy today
Everything sunshine today
If you really want me, if you really need me
Don't turn the light on, leave me alone
If you really want me, if you really need me
Don't turn the light on, leave me alone
They don't like it, what I love
But I love it, what they do
Everything groovy today
Everything shining you see
If you really want me, if you really need me
Don't turn the light on, leave me alone
If you really want me, if you really need me
Don't turn the light on, leave me alone
Alone",190,0.33181818181818196,0.4727272727272726
1,326501,O Holy Night,1970,Charley Pride,Country,"O holy night! The stars are brightly shining,
It is the night of the dear Savior's birth.
Long lay the world in sin and error pining.
Till He appeared and the Spirit felt its worth.
A thrill of hope the weary world rejoices,
For yonder breaks a new and glorious morn.
Fall on your knees! Oh, hear the angel voices!
O night divine, the night when Christ was born;
O night, O holy night, O night divine!
O night, O holy night, O night divine!
Led by the light of faith serenely beaming,
With glowing hearts by His cradle we stand.
O'er the world a star is sweetly gleaming,
Now come the wisemen from out of the Orient land.
The King of kings lay thus lowly manger;
In all our trials born to be our friends.
He knows our need, our weakness is no stranger,
Behold your King! Before him lowly bend!
Behold your King! Before him lowly bend!
Truly He taught us to love one another,
His law is love and His gospel is peace.
Chains he shall break, for the slave is our brother.
And in his name all oppression shall cease.
Sweet hymns of joy in grateful chorus raise we,
With all our hearts we praise His holy name.
Christ is the Lord! Then ever, ever praise we,
His power and glory ever more proclaim!
His power and glory ever more proclaim!",235,0.3755279356060606,0.4703030303030303
2,136190,Often As I May,1970,Grace Slick,Rock,"I love him,
as often as I may,
and I will give him before it goes away,
the grass and wine brought love that makes him laugh and gentle.
Look! at him he may be smiling,
the eyes are wide and black and acid clear,
not exactly knowing why he stays when he speaks of leaving.
He won't same time,
I want to love tomorrow he knows the one I love who tries never quite the same,
but It's so near in the back in mind I'll ask to borrow him
Look! At the love that has him moving more,
and though, stop, anything that makes a loving bore,
and when he loses every soft word that I say,
He'll go away.
Repeat.",123,0.18291666666666667,0.41583333333333333
3,140134,Tulane,1970,Chuck Berry,Rock,"Tulane and Johnny opened a novelty shop,
Back under the corner, was the cream of the crop,
Evything was clickin and the business was good,
ill one day, lo and behold an officer stood.
Johnny jumped the counter but he stumbled and fell,
But Tulane made it over Johnny just as he yelled,
Chorus: o head on, Tulane, he can catch up with you.
Go Tulane, he ain man enough for you.
Go Tulane, use all the speed you got.
Go Tulane, you know you need a lot.
Go Tulane, he laggin behind.
Go ead on, Tulane.
Go by your father house and tell him the business is slow
And see if he will loan us something, soon as he hits the dough.
Put the cat out in the hall and rumple up the room
Go by Doctor Keller, tell him you swollowed some perfume
Tell him we need him quick, uz he may to testify
That you been sick all day and that a perfect alibi
Go, let Danny drive in case you run into the Man
Back by the shop and get the stuff and hide it in the van
Go back by your father, get the money for the bail
And bring it down and bail me out this rotten, funky jail
We gotta get a lawyer in the click of politics
Somebody who can win the thing or get the thing fix",236,0.04756613756613756,0.4830687830687831
4,66984,Bridge Over Troubled Water,1970,Elvis Presley,Rock,"When You're weary, feeling small
When tears are in your eyes I will dry them all
I'm on your site, oh, When times get rough
And friends just can't be found
Like a bridge over troubled water,
I will lay me down,
Oh, like a bridge over troubled water
I will lay me down
When you're down and out, when you're on the streets
When evening falls so hard, I will comfort you
I'll take your part when the darkness falls and pain is all around
Yes, like a bridge over troubled water
I will lay me down
Oh, like a bridge over troubled water
I will lay me down
Sail on, silver girl, sail on by
Your time has come to shine
All your dreams are on their way
See how they shine
Oh, if you need a friend,
I'm sailing right behind
Yes, like a bridge over troubled water
I, I will ease your mind
Like a bridge over troubled water
I will easy your mind",168,-0.23150352733686066,0.6363977072310406
5,157081,Eleanor Rigby,1970,Count Basie,Jazz,"Ah look at all the lonely people
Ah look at all the lonely people
Eleanor Rigby, picks up the rice
In the church where a wedding has been
Lives in a dream
Waits at the window, wearing the face
That she keeps in a jar by the door
Who is it for
All the lonely people
Where do they all come from
All the lonely people
Where do they all belong
Father McKenzie, writing the words
Of a sermon that no one will hear
No one comes near
Look at him working, darning his socks
In the night when there's nobody there
What does he care
All the lonely people
Where do they all come from
All the lonely people
Where do they all belong
Ah look at all the lonely people
Ah look at all the lonely people
Eleanor Rigby, died in the church
And was buried along with her name
Nobody came
Father McKenzie, wiping the dirt
From his hands as he walks from the grave
No one was saved
All the lonely people
Where do they all come from
All the lonely people
Where do they all belong",191,-0.09375,0.6416666666666667
6,230717,Go Underground,1970,B B King,Rock,"Yes, you thought
You had a good thing, baby
You could do what you wanted to do
Yes, but you'd better
Find you another thing, baby
Because this thing
Is cutting out on you
I'm tired of you putting me down
I think I'll do like a mole
And move underground
I tried to do
Everything for you, baby
Tried to give you everything
Even the stars above
Oh but you wanted someone
To play with, baby
And I needed me someone to love
I say I'm tired of you
Putting me down
I think I'll do like a mole
And move underground
Yes, I can't be a winner, baby
Because I was born to lose
I go to bed every night
With troubles, baby
Because I wake up
Thinking about you
I'm tired of you
Putting me down, baby
I think I'm gonna do like a mole
And move underground
Oh I paid the cost, baby
I even sing the blues
I've done everything to please you
And I'm tired of paying my dues
And I'm tired of you
Putting me down
That's why I'm gonna do like a mole
And move underground",194,-0.10873015873015875,0.5253968253968254
7,326819,Yesterday When I Was Young,1970,Blossom Dearie,Jazz,"Yesterday, when I was young,
The taste of life was sweet, as rain upon my tongue,
I teased at life, as if it were a foolish game,
The way the evening breeze may tease a candle flame
The thousand dreams I dreamed, the splendid things I planned,
I always built, alas, on weak and shifting sand,
I lived by night, and shunned the naked light of day,
And only now, I see, how the years ran away
Yesterday, when I was young,
So many happy songs were waiting to be sung,
So many wild pleasures lay in store for me,
And so much pain, my dazzled eyes refused to see
I ran so fast that time, and youth at last ran out,
I never stopped to think, what life, was all about,
And every conversation, I can now recall,
Concerned itself with me, and nothing else at all
Yesterday, the moon was blue,
And every crazy day, brought something new to do,
I used my magic age, as if it were a wand,
And never saw the worst, and the emptiness beyond
The game of love I played, with arrogance and pride,
And every flame I lit, too quickly, quickly died,
The friends I made, all seemed somehow to drift away,
And only I am left, on stage to end the play
There are so many songs in me, that won't be sung,
I feel the bitter taste, of tears upon my tongue,
The time has come for me to pay,
For yesterday, when I was young",257,0.09593434343434344,0.5732070707070707
8,13120,Hear Me Lord,1970,George Harrison,Rock,"(Hear me lord)
Forgive me lord
Please, those years when I ignored you, hmm
Forgive them lord
Those that feel they can't afford you, hmm
Help me lord, please
To rise above this dealing, hmm
Help me lord, please
To love you with more feeling, hmm
At both ends of the road
To the left and the right
Above and below us
Out and in, there's no place that you're not in
Oh, won't you hear me lord
(Hear me lord)
(Hear me lord)
(Hear me lord)
(Hear me lord)
At both ends of the road
To the left and the right
Above and below us
Out and in, there's no place that you're not in
Oh, won't you hear me lord
Help me lord, please
To rise a little higher, hmm
Help me lord, please
To burn out this desire, hmm
Hear me lord, please
Hear me lord, please
Oh, won't you please, please
Hear me lord
Oh, hear me lord
Hear me lord
Oh, won't you please, please
Hear me lord
My lord, my lord, my lord
(Hear me lord)
Now, won't you please (hear me lord)
My lord, my lord, my lord
Won't you please / (Hear me lord)
Oh, hear me lord, hear me lord
(Hear me lord)",212,0.14853896103896103,0.3155844155844156
9,238803,Somethin Comin On,1970,Blood Sweat Tears,Rock,"Something coming on, don't know what it is but it's getting stronger
Feeling in my bones, hope you let it last a little bit longer
Breaking out my head, doing things I never even dreamed of
Rolling up my spine, turning on the things that'd never been turned on
Suddenly she came in
Looked like she'd been gaming
Doing things with everybody else
When I called out loudly
She answered kind o' proudly
She spent her life upon the shelf
Something coming on, don't know what it is but it's getting stronger
I've got a feeling in my bones, and I hope you let it last a little bit longer
Breaking out my head, I've been doing things I never even dreamed of
Well, rolling up my spine, turning on my things that'd never been turned on
Talk about the woman
[horns / keyboard break]",145,0.11388888888888887,0.49259259259259264
